match_id,1_kda,1_winrate,1_cm_points,1_champion_winrate,2_kda,2_winrate,2_cm_points,2_champion_winrate,3_kda,3_winrate,3_cm_points,3_champion_winrate,4_kda,4_winrate,4_cm_points,4_champion_winrate,5_kda,5_winrate,5_cm_points,5_champion_winrate,6_kda,6_winrate,6_cm_points,6_champion_winrate,7_kda,7_winrate,7_cm_points,7_champion_winrate,8_kda,8_winrate,8_cm_points,8_champion_winrate,9_kda,9_winrate,9_cm_points,9_champion_winrate,10_kda,10_winrate,10_cm_points,10_champion_winrate
4183920090,2.04,0.5,4132.0,46.88,3.65,0.39,19276.0,49.47,5.75,0.58,179045.0,48.18,7.5,1.0,13776.0,47.49,2.87,0.45,114776.0,46.44,4.62,0.6,232872.0,52.03,4.01,0.6,200719.0,51.11,4.75,1.0,120319.0,48.88,2.73,0.44,114859.0,44.86,3.64,0.67,2292.0,50.97
4183991488,4.25,0.78,51433.0,50.73,5.51,0.58,83668.0,46.44,5.01,0.67,124347.0,50.61,2.98,0.58,11379.0,47.23,3.78,0.5,100760.0,46.88,3.83,0.56,79031.0,50.65,0.0,0.0,13941.0,51.63,0.0,0.0,0.0,50.39,3.37,0.52,16963.0,49.76,8.34,1.0,98293.0,51.49
4183951281,3.99,0.55,130569.0,47.51,4.3,0.58,232219.0,49.04,2.57,0.8,29400.0,44.85,4.9,0.8,74641.0,50.79,4.96,1.0,8636.0,47.23,5.85,0.62,147150.0,50.97,0.0,0.0,439023.0,47.46,2.52,0.5,2278.0,49.76,5.9,0.83,18160.0,47.49,0.0,0.0,175933.0,48.13
4183951838,4.51,0.4,909598.0,50.61,5.46,0.68,748213.0,48.18,1.98,0.53,2642969.0,51.85,10.53,0.75,129230.0,52.03,3.77,0.75,69199.0,50.65,2.43,0.5,2290777.0,49.95,0.0,0.0,10722.0,46.44,3.66,0.67,159947.0,51.59,4.32,0.62,27299.0,50.15,6.27,0.62,172267.0,51.11
4183966652,0.0,0.0,16882.0,48.12,6.41,0.75,19158.0,50.65,5.46,0.64,203683.0,51.52,4.59,0.8,64619.0,49.04,4.32,0.27,151443.0,51.49,3.31,0.65,509248.0,49.74,3.4,0.0,57866.0,49.56,1.54,0.22,3423.0,44.85,3.19,0.5,648222.0,50.61,4.53,0.51,1274328.0,51.26
4183977379,3.25,0.52,417803.0,50.25,3.01,0.5,285758.0,49.04,2.79,0.43,24566.0,50.97,4.67,0.58,797666.0,46.45,3.92,0.68,913078.0,52.03,5.14,0.61,569077.0,47.46,4.57,0.41,910330.0,50.61,5.32,0.63,18162.0,49.76,4.67,0.44,38508.0,51.22,5.05,0.62,8572.0,51.11
4184010573,1.99,0.51,317789.0,49.47,4.97,0.61,649022.0,47.71,2.84,0.46,137838.0,50.65,3.55,0.64,33559.0,51.9,3.29,0.47,497512.0,49.04,4.85,0.67,31659.0,44.85,3.5,1.0,84963.0,47.13,1.89,1.0,9913.0,51.08,2.25,0.33,9771.0,49.54,4.6,0.65,41347.0,50.75
4184041991,3.78,0.48,36597.0,51.32,1.89,0.67,124852.0,51.63,3.78,0.74,211422.0,52.15,3.32,0.67,232623.0,48.13,4.91,0.65,176752.0,50.87,2.09,0.75,7770.0,48.18,4.57,0.67,431438.0,47.46,2.23,0.46,117415.0,50.39,4.26,1.0,10642.0,50.72,2.77,0.35,120377.0,49.04
4184032607,10.9,0.75,17886.0,50.86,3.37,0.46,169181.0,50.65,4.77,0.48,35212.0,44.85,0.0,0.0,5830.0,47.49,2.72,0.67,34663.0,51.08,6.0,0.0,82489.0,50.87,3.56,0.5,15514.0,49.04,1.61,0.17,21341.0,46.44,0.0,0.0,73237.0,50.19,3.49,0.42,274550.0,50.61
4184033593,3.63,0.71,21445.0,50.97,2.32,0.06,124894.0,49.04,5.12,0.59,419506.0,50.2,4.68,0.78,9438.0,51.81,3.81,0.55,302005.0,48.12,0.0,0.0,3383.0,50.15,5.2,0.5,59301.0,49.56,4.27,0.38,5623.0,47.23,5.32,0.75,39445.0,51.11,8.47,0.8,66159.0,54.4
